gene	partner
ABCC8	HHF1
ABCC8	HI
ABCC8	MRP8
ABCC8	PHHI
ABCC8	SUR1
ABCC8	TNDM2
ABCC9	ABCC9
ABCC9	CMD1O
ABCC9	SUR2
ABCD-1	CCL22
ABCD-2	CCL17
ABCD-3	CX3CL1
ABCD1	ABCD1
ABCD1	ALDP
ABCD1	AMN
ABCD1	adrenoleukodystrophy
ABCD1P1	ABCD1P1
ABCD1P2	ABCD1P2
ABCD1P2	bA453N3.6
ABCD1P3	ABCD1P3
ABCD1P4	ABCD1P4
ABCD1P5	ABCD1P5
ABCD2	ABCD2
ABCD2	ALDR
ABCD2	ALDRP
ABCD3	ABCD3
ABCD3	PMP70
ABCD3	ZWS2
ABCD4	ABCD4
ABCD4	EST352188
ABCD4	P70R
ABCD4	PMP69
ABCE1	ABCE1
ABCE1	OABP
ABCE1	RLI
ABCF1	ABCF1
ABCF1	EST123147
ABCF2	ABC28
ABCF2	ABCF2
ABCF2	EST133090
ABCF2	HUSSY-18
ABCF2	M-ABC1
ABCF2P1	ABCF2P1
ABCF2P2	ABCF2P2
ABCF3	ABCF3
ABCF3	EST201864
ABCG1	ABC8
ABCG1	ABCG1
ABCG2	ABCG2
ABCG2	ABCP
ABCG2	BCRP
ABCG2	CD338
ABCG2	EST157481
ABCG2	MXR
ABCG4	ABCG4
ABCG4	WHITE2
ABCG5	ABCG5
ABCG5	STSL
ABCG8	ABCG8
ABCG8	GBD4
ABCP	ABCG2
ABCR~withdrawn	ABCR~withdrawn
ABCX	ABCA7
ABF-1	MSC
ABH	ALKBH1
ABH2	ALKBH2
ABHD1	ABHD1
ABHD1	FLJ36128
ABHD1	LABH1
ABHD10	ABHD10
ABHD10	FLJ11342
ABHD11	ABHD11
ABHD11	PP1226
ABHD11-AS2~withdrawn	ABHD11-AS2~withdrawn
ABHD12	ABHD12
ABHD12	ABHD12A
ABHD12	BEM46L2
ABHD12	DKFZP434P106
ABHD12	dJ965G21.2
ABHD12A	ABHD12
ABHD12B	ABHD12B
ABHD12B	BEM46L3
ABHD13	ABHD13
ABHD13	BEM46L1
ABHD13	FLJ14906
ABHD13	bA153I24.2
ABHD14A	ABHD14A
ABHD14A	DKFZP564O243
ABHD14A	DORZ1
ABHD14A-ACY1	ABHD14A-ACY1
ABHD14B	ABHD14B
ABHD14B	CIB
ABHD14B	MGC15429
ABHD15	ABHD15
ABHD16A	ABHD16A
ABHD16A	D6S82E
ABHD16A	NG26
ABHD16B	ABHD16B
ABHD16B	dJ591C20.1
ABHD17A	ABHD17A
ABHD17A	MGC5244
ABHD17AP1	ABHD17AP1
ABHD17AP1	C1orf47
ABHD17AP2	ABHD17AP2
ABHD17AP3	ABHD17AP3
ABHD17AP4	ABHD17AP4
ABHD17AP5	ABHD17AP5
ABHD17AP6	ABHD17AP6
ABHD17AP7	ABHD17AP7
ABHD17AP8	ABHD17AP8
ABHD17AP9	ABHD17AP9
ABHD17B	ABHD17B
ABHD17B	CGI-67
ABHD17C	ABHD17C
ABHD2	ABHD2
ABHD2	LABH2
ABHD3	ABHD3
ABHD3	LABH3
ABHD4	ABHD4
ABHD4	FLJ12816
ABHD5	ABHD5
ABHD5	CGI-58
ABHD5	NCIE2
ABHD6	ABHD6
ABHD8	ABHD8
ABHD8	FLJ11743
ABHD8	MGC14280
ABHD8	MGC2512
ABI-1	ABI1
ABI-2	ABI2
ABI1	ABI-1
ABI1	ABI1
ABI1	E3B1
ABI1P1	ABI1P1
ABI2	ABI-2
ABI2	ABI2
ABI2	ABI2B
ABI2	AIP-1
ABI2	AblBP3
ABI2	SSH3BP2
ABI2	argBPIA
ABI2B	ABI2
ABI3	ABI3
ABI3	NESH
ABI3	SSH3BP3
ABI3BP	ABI3BP
ABI3BP	DKFZP586L2024
ABI3BP	NESHBP
ABI3BP	TARSH
ABIN-1	TNIP1
ABIN-2	TNIP2
ABIN-3	TNIP3
ABL	MTTP
ABL1	ABL1
ABL1	JTK7
ABL1	c-ABL
ABL1	p150
ABL2	ABL2
ABL2	ARG
ABLIM1	ABLIM1
ABLIM1	abLIM
ABLIM1	limatin
ABLIM2	ABLIM2
ABLIM2	KIAA1808
ABLIM3	ABLIM3
ABLIM3	KIAA0843
ABO	A3GALNT
ABO	A3GALT1
ABO	ABO
ABP	SHBG
ABP-278	FLNB
ABP-280	FLNA
ABP-280	FLNC
ABP125	SEC31A
ABP130	SEC31A
ABP620	MACF1
ABPL	FLNC
ABR	ABR
ABR	MDB
ABRA	ABRA
ABRA	STARS
ABRA1	FAM175A
ABRACL	ABRACL
ABRACL	Costars
ABRACL	HSPC280
ABRACL	PRO2013
ABRO1	FAM175B
ABS	DDX41
ABT1	ABT1
ABT1P1	ABT1P1
ABTB1	ABTB1
ABTB1	BPOZ
ABTB1	BTBD21
ABTB1	Btb3
ABTB1	EF1ABP
ABTB2	ABTB2
ABTB2	ABTB2A
ABTB2	BTBD22
ABTB2	DKFZP586C1619
ABTB2A	ABTB2
ABTB2B	BTBD11
AC	ASAH1
AC004542.C22.1	MORC2
AC004997.C22.2	TBC1D10A
AC012044.5	FAM25E
AC022026.3	RPSAP6
AC022389.4	LRIT2
AC022394.1	HMGN2P8
AC023283.3	ENO4
AC023904.2	C10orf40
AC073585.2	FAM24B
AC073585.4	FAM24A
AC096655.1-002	GACAT1
AC1	ADCY1
AC133	PROM1
AC2	ADCY2
AC3	ADCY3
AC3-33	C3orf33
AC4	ADCY4
AC5	ADCY5
AC6	ADCY6
AC7	ADCY7
AC8	ADCY8
AC9	ADCY9
ACA1	SNORA1
ACA10	SNORA10
ACA11	SCARNA22
ACA12	SCARNA23
ACA13	SNORA13
ACA14a	SNORA14A
ACA14b	SNORA14B
ACA15	SNORA15
ACA16	SNORA16A
ACA17	SNORA17
ACA18	SNORA18
ACA19	SNORA19
ACA20	SNORA20
ACA21	SNORA21
ACA22	SNORA22
ACA23	SNORA23
ACA24	SNORA24
ACA25	SNORA25
ACA26	SCARNA4
ACA27	SNORA27
ACA28	SNORA28
ACA29	SNORA29
ACA2A	SNORA2A
ACA2b	SNORA2B
ACA3	SNORA3
ACA3-2	SNORA45
ACA30	SNORA30
ACA31	SNORA31
ACA32	SNORA32
ACA33	SNORA33
ACA34	SNORA34
ACA35	SCARNA1
ACA36	SNORA36A
ACA36b	SNORA36B
ACA37	SNORA37
ACA38	SNORA38
ACA39	SNORA39
ACA4	SNORA4
ACA40	SNORA40
ACA41	SNORA41
ACA42	SNORA42
ACA43	SNORA43
ACA44	SNORA44
ACA45	SCARNA15
ACA46	SNORA46
ACA47	SCARNA16
ACA48	SNORA48
ACA49	SNORA49
ACA5	SNORA5A
ACA50	SNORA50
ACA51	SNORA51
ACA52	SNORA52
ACA53	SNORA53
ACA54	SNORA54
ACA55	SNORA55
ACA56	SNORA56
ACA57	SCARNA11
ACA58	SNORA58
ACA59	SNORA59A
ACA59	SNORA59B
ACA5b	SNORA5B
ACA5c	SNORA5C
ACA6	SNORA6
ACA60	SNORA60
ACA61	SNORA61
ACA62	SNORA76
ACA63	SNORA77
ACA64	SNORA78
ACA65	SNORA79
ACA66	SCARNA20
ACA67	SNORA80
ACA67B	SNORA80B
ACA68	SCARNA21
ACA7	SNORA7A
ACA7B	SNORA7B
ACA8	SNORA8
ACA9	SNORA9
ACAA1	ACAA1
ACAA2	ACAA2
ACAA2	DSAEC
ACACA	ACACA
ACACA	ACC1
ACACB	ACACB
ACACB	ACC2
ACACB	ACCB
ACACB	HACC275
ACAD1	ACADM
ACAD10	ACAD10
ACAD10	MGC5601
ACAD11	ACAD11
ACAD11	FLJ12592
ACAD2	IVD
ACAD3	ACADS
ACAD4	ACADL
ACAD5	GCDH
ACAD6	ACADVL
ACAD7	ACADSB
ACAD8	ACAD8
